passed,Molecular mass,LogP,H-Donors,H-Acceptors,molecule_name,canonical_smiles,pIC50
True,427.29100000000017,4.538200000000003,2,6,CHEMBL327127,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,7.086186147616283
True,539.6440000000001,3.013100000000001,3,10,CHEMBL565714,CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)OCCN1CCNCC1,7.67778070526608
True,414.4900000000002,5.667300000000004,1,7,CHEMBL473556,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3)c2cc1OC,5.823908740944319
True,425.5210000000001,4.397200000000002,3,7,CHEMBL590109,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,6.026872146400302
True,469.3680000000001,5.363100000000003,2,7,CHEMBL606403,CC(C)c1nsc(C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)n1,6.889410289700751
True,449.3080000000001,5.153400000000003,2,5,CHEMBL604914,O=C(COc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.534617148551582
True,290.153,4.680200000000001,1,3,CHEMBL1080815,Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1,5.568636235841013
True,430.9200000000001,6.030500000000004,1,5,CHEMBL1091613,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,6.619788758288394
True,307.38200000000006,3.426700000000001,3,5,CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,4.821886747685368
True,463.16600000000017,5.943800000000001,3,4,CHEMBL1095761,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,6.698970004336019
True,303.1590000000001,3.4746000000000024,0,3,CHEMBL1171792,Cc1ccc(Br)c2c(C#N)cc(C(=O)C3CC3)n12,7.070581074285707
True,375.414,0.5805000000000002,3,8,CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1,5.0
True,407.4730000000001,5.702300000000005,2,5,CHEMBL1172781,OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1,6.651695136951839
True,348.20400000000006,3.1245000000000003,2,6,CHEMBL1242285,CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21,6.603800652904264
True,394.27600000000007,4.637000000000002,3,4,CHEMBL499344,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccccc3)[nH]c2n1,5.777283528852417
True,303.29999999999995,3.646580000000001,2,4,CHEMBL1257795,N#Cc1ccc2c(c1)C(c1ccccc1F)=Nc1c[nH]nc1N2,4.962573502059376
True,325.43699999999995,3.715600000000002,2,5,CHEMBL1271950,OC[C@@H](Nc1ncnc2sc3c(c12)CCCC3)c1ccccc1,6.142667503568732
True,395.2600000000001,4.961080000000003,2,4,CHEMBL1641991,CCC(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,4.681936665037238
True,530.5640000000002,3.8553200000000016,3,10,CHEMBL1645462,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,7.494850021680094
True,402.5020000000002,3.869700000000001,3,5,CHEMBL1762110,CC(=O)NC[C@H]1CC[C@H](c2nc(-c3cc4ccccc4[nH]3)c3c(N)nccn32)CC1,5.446116973356125
